song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,yearly_streams,artist_ids
Save Your Tears,The Weeknd,,,After Hours,2020-03-20,5QO79kh1waicV47BqGRL3g,405580618,1Xyo4u8uXC1ZmMpatF05PJ
Marisola - Remix,"Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile","reggaeton chileno, chilean trap, chilean mambo, reggaeton, argentine trap, trap, trap latino, mambo, rkt","Hip Hop, Latin",Marisola (Remix),2022-12-15,0NO2zL0kw8sGGnaMvHKAZF,132954547,"1Yj5Xey7kTwvZla8sqdsdE, 1bAftSH8umNcGZ0uyV7LMg, 2UZIAOlrnyZmyzt1nuXr9y, 0rjms710nwQTdrQheXHJfz, 2NZD6Gqfk60GEcAAnJKVsR"
Murder In My Mind,Kordhell,"phonk, drift phonk","Electronic, Hip Hop",Murder In My Mind,2022-01-21,6qyS9qBy0mEk3qYaH8mPss,123428298,2W6WP4pHQTFlbr2z9S4n54
CAIRO,"KAROL G, Ovy On The Drums","reggaeton, latin, urbano latino",Latin,MAÑANA SERÁ BONITO,2023-02-24,16dUQ4quIHDe4ZZ0wF1EMN,152162132,"790FomKkXshlbRYZFtlgla, 3m5qlPf2OkihLz3dRYnkPA"
Dancing Queen,ABBA,,,Arrival,1976-00-00,0GjEhVFGZW8afUYGChu3Rr,2999832,0LcJLqbBmaGUft1e9Mm8HV
SPIT IN MY FACE!,ThxSoMch,,,SPIT IN MY FACE!,2022-12-20,1N8TTK1Uoy7UvQNUazfUt5,126174211,4MvZhE1iuzttcoyepkpfdF
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",,,Twelve Carat Toothache,2022-06-03,0O6u0VJ46W86TxN9wgyqDj,97386369,"246dkjvS1zLTtiykXe5h60, 5cj0lLjcoR7YOSnhnX0Po5"
Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",,,The Heist,2012-10-09,22skzmqfdWrjJylampe0kt,437796732,"3JhNCzhSMTxs9WLGJJxWOY, 4myTppRgh0rojLxx8RycOp, 6WLvgbfYXQPO396oJEYCsi, 4e0nWw2r4BoQSKPQ2zpU13"
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage","rap, hip hop, ",Hip Hop,"Honestly, Nevermind",2022-06-17,3F5CgOj3wFlRv51JsHbxhe,376110642,"3TVXtAsR1Inumwj472S9r4, 1URnnhqYAYcrqrcwql10ft"
Yellow,Coldplay,,,Parachutes,2000-07-10,3AJwUDP919kvQ9QcozQPxg,563118973,4gzpq5DPGxSnKTe4SA8HAU
Call Out My Name,The Weeknd,,,"My Dear Melancholy,",2018-03-30,09mEdoA6zrmBPgTEN5qXmN,169675746,1Xyo4u8uXC1ZmMpatF05PJ
Leão,Marília Mendonça,"sertanejo, sertanejo universitário, arrocha, forró","Country, Latin",Decretos Reais,2023-05-25,53PpijFATt35Zxfl6LTxoK,182321186,1yR65psqiazQpeM79CcGh8
