song_name,artist_names,genres,parent_genres,album,release_date,spotify_track_id,album_label,ISRC,yearly_streams,artist_ids
Salam Alaikum (feat. 7ari & Steve Aoki),"Sfera Ebbasta, 7ari, Steve Aoki","italian trap, trap, arabic rap, moroccan pop, electro house, edm","Hip Hop, Electronic, Pop",Famoso,2020-11-20,5Ws6qds3QAQ5s4tN5P2zRA,Universal Music Italia srL.,ITUM72001153,1135893,"23TFHmajVfBtlRx5MXqgoz, 292jMVlKq180yzi8WRaVU6, 77AiFEVeAVj2ORpC85QVJs"
Gangang (feat. Lil Mosey),"Sfera Ebbasta, Lil Mosey","italian trap, trap, melodic rap",Hip Hop,Famoso,2020-11-20,51ITVcACLrgOz44zlFVhk7,Universal Music Italia srL.,ITUM72001154,1100342,"23TFHmajVfBtlRx5MXqgoz, 5zctI4wO9XSKS8XwcnqEHk"
Circles,Megan Thee Stallion,,,Good News,2020-11-20,08TILUAN56HJoS1d9mNRty,300 Entertainment,QMCE32000677,1806635,181bsRPaVXVlUKXrxwZfHK
6 AM,Sfera Ebbasta,"italian trap, trap",Hip Hop,Famoso,2020-11-20,0bvHx0bCYwH6gj0f5WZV0R,Universal Music Italia srL.,ITUM72001152,1011357,23TFHmajVfBtlRx5MXqgoz
Bottiglie Privè,Sfera Ebbasta,"italian trap, trap",Hip Hop,Famoso,2020-11-20,4hExiZDbGdegofpEc9t0Fu,Universal Music Italia srL.,ITUM72001137,979547,23TFHmajVfBtlRx5MXqgoz
Polvo,"Nicky Jam, Myke Towers","reggaeton, latin, trap latino, urbano latino",Latin,Polvo,2020-11-20,68mrW6gXHgupgSiDHgaDi5,Sony Music Latin,USSD12000502,37421405,"1SupJlEpv7RS2tPNRaHViT, 7iK8PXO48WeuP03g8YR51W"
Shots Fired,Megan Thee Stallion,,,Good News,2020-11-20,3yhhv0VCmKkAWD9ysDLpTE,300 Entertainment,QMCE32000676,787781,181bsRPaVXVlUKXrxwZfHK
Still Goin Down,Morgan Wallen,country,Country,Still Goin Down,2020-11-19,096YtKWNRXdmYKFLelSBto,Big Loud / Republic,USUG12004206,774911,4oUHIQIBe0LHzYfvXNW4QM
Love Not War (The Tampa Beat),"Jason Derulo, Nuka",,,Love Not War (The Tampa Beat),2020-11-20,4Lt6GXGzYsa1tgkv3nGSTm,Robots & Humans,GBARL2001440,5253543,"07YZf4WDAMNwqr4jfgOZ8y, 1XynjLPAyPi8SZAx8LHN0Z"
Hey Boy,Sia,,,Hey Boy,2020-11-19,4GMwkXRXJBedJMmvmltk0Q,Monkey Puzzle/Atlantic,USAT22006881,768042,5WUlDfRSoLAfcVSX1WnrxN
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,"christmas, adult standards, big band, swing music","Easy listening, Jazz",A Winter Romance,1959-01-01,2uFaJJtFpPDc5Pa95XzTvg,Capitol Records,USCA25900140,80725882,49e4v89VmlDcFCMyDv9wQ9
Sleigh Ride,The Ronettes,christmas,Jazz,Caroling at Christmas,2019-11-09,46UMwpkxyIwzqhsaONm4wf,Legacy Recordings,USSM10905166,16230286,7CyeXFnOrfC1N6z4naIpgo
Feliz Navidad,José Feliciano,"christmas, bolero","Latin, Jazz",The Definite Best,2001-09-03,7taXf5odg9xCAZERYfyOkS,RCA Records Label,USRC19900930,14708791,7K78lVZ8XzkjfRSI7570FF
Holly Jolly Christmas,Michael Bublé,christmas,Jazz,Christmas,2011-10-24,6tjituizSxwSmBB5vtgHZE,143/Reprise,USRE11100705,70838733,1GxkXlMwML1oSg5eLPiAz3
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),"Frank Sinatra, B. Swanson Quartet","christmas, big band, adult standards, swing music, vocal jazz, jazz, ","Easy listening, Jazz",Christmas Songs by Sinatra,1994-11-08,4kKdvXD0ez7jp1296JmAts,Columbia/Legacy,USSM10018232,72894086,"1Mxqyy3pSjf8kZZL4QVxS0, 0JXiS2FrAg3wQYJHcmZdrc"
Do They Know It's Christmas? - 1984 Version,Band Aid,christmas,Jazz,Do They Know It's Christmas?,2004-01-01,0247StOpd3AkeBQzANX4Zf,EMI,GBF088400001,73198864,35S20clEkkSNUo23ViaslZ
Driving Home for Christmas - 2019 Remaster,Chris Rea,christmas,Jazz,"Dancing with Strangers (Deluxe Edition, 2019 Remaster)",1987-08-02,27qAMKrDdKEs8HDXcvR24R,Rhino,GBAHS1900389,65745863,5KEG7G8LDYlHgFDqZyEEs2
