spotify_track_id,song_name,artist_names,artist_ids,all_time_streams,years_on_chart,parent_genres,genres,album,album_date,album_label,release_date,release_date_precision,album_type
3qXsX3mYSsD1DmAvc3PE3N,Love You Anyway,Luke Combs,718COspgdWOnwOFpJHRZHS,13283138,2023,Country,country,Love You Anyway,2023-02-10,River House Artists/Columbia Nashville,2023-02-10,day,single
3qgPpwtuRu5oP8EtFSj8HE,SO DONE,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,94101446,"2020,2021",,,F*CK LOVE (SAVAGE),2020-11-06,Columbia,2020-11-06,day,album
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,5p9HO3XC5P3BLxJs5Mtrhm,1183095382,2024,Pop,psychedelic pop,DECIDE,2022-09-16,Djo,2022-09-16,day,album
3qk4wRMDlaeagZGjSYbsOV,Sober,"G-Eazy, Charlie Puth","02kJSzxNuaWGqwubyUba0Z, 6VuMaDnrHyPL1p4EHjYLi7",21880262,"2017,2018",Pop,"soft pop, pop",The Beautiful & Damned,2017-12-15,BPG/RVG/RCA Records,2017-12-15,day,album
3qmdfYpfvKRIXmWaLllHZ3,Black Lança (Catucando Gostosinho),"MC Teteu, Dj Serpinha","6ulkDr2Bnu7Qlbrs5iDOF1, 17CbKzT0I4256iVuPvrZXr",797260,2022,"Hip Hop, Pop, R&B","funk, brazilian funk, brega funk",Black Lança (Catucando Gostosinho),2021-12-03,2click Produções,2021-12-03,day,single
3qmvK8QARSPkFTuKeIXSbs,Bleed It Out,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,3378245,2017,"Metal, Rock","nu metal, rap metal, rock, alternative metal",Minutes to Midnight,2007-05-11,Warner Records,2007-05-11,day,album
3qnbLYCLzKvGIQXFyopS2H,TALKING,"Kanye West, Ty Dolla $ign","5K4W6rqBFWDnAN6FQUkS6x, 7c0XG5cIJTrrAgEC3ULPiq",15562521,2024,Hip Hop,"rap, ",VULTURES 1,2024-02-09,YZY,2024-02-09,day,album
3qnoOm4fwZPBS116f5hpgF,All Mine,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,115155282,2018,Hip Hop,rap,ye,2018-06-01,"Getting Out Our Dreams, Inc./Def Jam Recordings",2018-06-01,day,album
3qoftcUZaUOncvIYjFSPdE,Bejeweled,Taylor Swift,06HL4z0CvFAxyc27GXpf02,157870344,"2022,2023",,,Midnights,2022-10-21,Taylor Swift,2022-10-21,day,album
3qrTll9OQ9wcejTxPFY0qg,The Line (from the series Arcane League of Legends),"Twenty One Pilots, Arcane, League of Legends","3YQKmKGau1PzlVlkL1iodx, 57nPqD7z62gDdq37US9XJR, 47mIJdHORyRerp4os813jD",19770008,2024,,,The Line (from the series Arcane League of Legends),2024-11-22,Riot Games,2024-11-22,day,single
