artist_1,artist_1_id,artist_2,artist_2_id,count,song_ids
Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,1,['6kls8cSlUyHW2BUOkDJIZE']
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Young Thug,50co4Is1HCEo8bhOyUWKpn,3,"['3nS9a01VvXHQriLqJYwRqG', '4ea9w8c4ROqiZpJVhfBA3m', '4lAQfuREAHG8IC0PiiigBt']"
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,4,"['0lSZh5W0wDeurkGzLYY6hf', '4YhJ3a6kBPGJWX4Ek77sDd', '4ea9w8c4ROqiZpJVhfBA3m', '7IMwEtpAiJanqF6vQteZN2']"
Don Toliver,4Gso3d4CscCijv0lmajZWs,JACKBOYS,7A8S43ryYdbWpJKeHRZRcq,1,['4AO1XhrgJczQ9bNVxdfKQe']
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Don Toliver,4Gso3d4CscCijv0lmajZWs,2,"['13QU8HBEBaSTZGq1HzQe9S', '4AO1XhrgJczQ9bNVxdfKQe']"
Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,JP Saxe,66W9LaWS0DPdL7Sz8iYGYe,1,['2kJwzbxV2ppxnQoYw4GLBZ']
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Major Lazer,738wLrAtLtCtFOLvQBXOXp,1,['1G2CAJeP7rCwOZjlSJ0Zw3']
El Alfa,2oQX8QiMXOyuqbcZEFsZfm,Major Lazer,738wLrAtLtCtFOLvQBXOXp,1,['1G2CAJeP7rCwOZjlSJ0Zw3']
Diplo,5fMUXHkw8R8eOP2RNVYEZX,Major Lazer,738wLrAtLtCtFOLvQBXOXp,2,"['0oB9964bp22Bmok0Dmxlzb', '1G2CAJeP7rCwOZjlSJ0Zw3']"
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,El Alfa,2oQX8QiMXOyuqbcZEFsZfm,1,['1G2CAJeP7rCwOZjlSJ0Zw3']
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,Diplo,5fMUXHkw8R8eOP2RNVYEZX,1,['1G2CAJeP7rCwOZjlSJ0Zw3']
El Alfa,2oQX8QiMXOyuqbcZEFsZfm,Diplo,5fMUXHkw8R8eOP2RNVYEZX,1,['1G2CAJeP7rCwOZjlSJ0Zw3']
Khalid,6LuN9FCkKOj5PcnpouEgny,Disclosure,6nS5roXSAGhTGr34W6n7Et,2,"['0TrPqhAMoaKUFLR7iYDokf', '6TqXcAFInzjp0bODyvrWEq']"
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,Don Toliver,4Gso3d4CscCijv0lmajZWs,1,['2jrAaawDRCn1JjeouxAyDN']
Quavo,0VRj0yCOv2FXJNP47XQnx5,Don Toliver,4Gso3d4CscCijv0lmajZWs,1,['2jrAaawDRCn1JjeouxAyDN']
