artist_1,artist_2,count,song_ids
Huncho Jack,Travis Scott,2,"['7foypmc7KZyU716Yv63BPe', '6urLjX35oXXRYtcH1b3dCh']"
Huncho Jack,Quavo,2,"['7foypmc7KZyU716Yv63BPe', '6urLjX35oXXRYtcH1b3dCh']"
Alan Walker,Digital Farm Animals,2,"['5yFSF6qQA1rcLsQRnBsZgb', '0UBLhedidy1DjSF4ncF5zL']"
Alan Walker,Juliander,2,"['5yFSF6qQA1rcLsQRnBsZgb', '0UBLhedidy1DjSF4ncF5zL']"
Alan Walker,Noah Cyrus,2,"['5yFSF6qQA1rcLsQRnBsZgb', '0UBLhedidy1DjSF4ncF5zL']"
Digital Farm Animals,Juliander,2,"['5yFSF6qQA1rcLsQRnBsZgb', '0UBLhedidy1DjSF4ncF5zL']"
Digital Farm Animals,Noah Cyrus,2,"['5yFSF6qQA1rcLsQRnBsZgb', '0UBLhedidy1DjSF4ncF5zL']"
Juliander,Noah Cyrus,2,"['5yFSF6qQA1rcLsQRnBsZgb', '0UBLhedidy1DjSF4ncF5zL']"
6ix9ine,Kanye West,2,"['1oJ8EDr2pv94IvSd6ZmDgo', '0EwS8XJQspgrj1zSUXhFkl']"
Mark Ronson,Miley Cyrus,2,"['02dRkCEc8Q5ch4TTcnLxOn', '5KHzV8Gf3aweIMImliFAOs']"
21 Savage,Travis Scott,2,"['5u6vkDnOyaf8LsteDAj2ub', '1HLL8X0LH20F6Z9SLXLIjr']"
Gucci Mane,Lil Baby,2,"['2WqTKOAUmv7hz9ZzGnXHrY', '3zxiTHxE4MxwuYf8aLQ9ax']"
AFROJACK,David Guetta,2,"['0tPQPaOKM32WgMSbPCYyRH', '2ludbmtPoyCPe2K08fAlFl']"
J Balvin,Willy William,2,"['7COfe3P7KgfwDwIRB8LIDw', '7fwXWKdDNI5IutOMc5OKYw']"
Chris Jedi,Ozuna,2,"['22eADXu8DfOAUEDw4vU8qy', '4WzsycqZkpkS48H9AAAGux']"
Daft Punk,The Weeknd,2,"['7MXVkk9YMctZqd1Srtv4MB', '5GXAXm5YOmYT0kL5jHvYBt']"
Bad Bunny,J Balvin,2,"['5hcisvFMidkMJlElTO9Qmw', '58q2HKrzhC3ozto2nDdN4z']"
Bad Bunny,Daddy Yankee,2,"['0lJCqIx5BhZtf6QtYI2fbv', '6U2NuJILEOEpW2tVCuqKHb']"
DJ Luian,Prince Royce,2,"['5hcisvFMidkMJlElTO9Qmw', '7dNwJbsT0sg1le5kVugGJb']"
Mambo Kingz,Prince Royce,2,"['5hcisvFMidkMJlElTO9Qmw', '7dNwJbsT0sg1le5kVugGJb']"
Jason Derulo,Nicki Minaj,2,"['6kex4EBAj0WHXDKZMEJaaF', '5Xn4IyTtW6FUGIUyWjbUHG']"
Katy Perry,Pharrell Williams,1,['5bcTCxgc7xVfSaMV3RuVke']
J Balvin,Jowell & Randy,1,['693iqPOQvhI7PobtR8CC8v']
Macklemore,Macklemore & Ryan Lewis,1,['22skzmqfdWrjJylampe0kt']
Macklemore,Ray Dalton,1,['22skzmqfdWrjJylampe0kt']
Macklemore,Ryan Lewis,1,['22skzmqfdWrjJylampe0kt']
Macklemore & Ryan Lewis,Ray Dalton,1,['22skzmqfdWrjJylampe0kt']
Macklemore & Ryan Lewis,Ryan Lewis,1,['22skzmqfdWrjJylampe0kt']
Ray Dalton,Ryan Lewis,1,['22skzmqfdWrjJylampe0kt']
French Montana,Jason Derulo,1,['2z4pcBLQXF2BXKFvd0BuB6']
