spotify_track_id,song,artist,genres,parent_genres,album,time,all_streams,years_on_chart,song_type
3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,"Luan Pereira,MC Ryan SP,Mc Daniel","agronejo, sertanejo, sertanejo universitário, piseiro, funk, funk consciente, trap funk, brazilian funk, brazilian trap",Country,DENTRO DA HILUX,02:43,46745592,2023,Collaboration
3XIXklO3e0uWUAUkOR7NLI,DENTRO DA HILUX,"Luan Pereira,MC Ryan SP,Mc Daniel","agronejo, sertanejo, sertanejo universitário, piseiro, funk, funk consciente, trap funk, brazilian funk, brazilian trap",Country,DENTRO DA HILUX,02:43,46745592,2024,Collaboration
3XOalgusokruzA5ZBA2Qcb,pushin P (feat. Young Thug),"Gunna,Future,Young Thug","melodic rap, rap, trap",Hip Hop,DS4EVER,02:16,127662233,2022,Collaboration
3XYRV7ZSHqIRDG87DKTtry,Permission to Dance,BTS,k-pop,Pop,Permission to Dance,03:07,18310423,2021,Solo
3XYRV7ZSHqIRDG87DKTtry,Permission to Dance,BTS,k-pop,Pop,Permission to Dance,03:07,18310423,2022,Solo
3XfUFGzbr0LmwFVoLXd9cO,Billete Grande (En Vivo),"Fuerza Regida,Edgardo Nuñez","corrido, corridos tumbados, corridos bélicos, música mexicana, banda, electro corridos, sierreño, sad sierreño",Latin,Billete Grande (En Vivo),02:43,23899034,2023,Collaboration
3XiNC94b4Tq1xwv70sQJGN,Sanguine Paradise,Lil Uzi Vert,melodic rap,Hip Hop,Sanguine Paradise,04:03,127569510,2019,Solo
3XjN0mvFkQp1FMVM9Ro5hm,RUMBATÓN,Daddy Yankee,"reggaeton, latin",Latin,LEGENDADDY,04:08,40511971,2022,Solo
3XjvMZqm2AQ8thMCD6w9w2,Mas Rica Que Ayer,"Anuel AA,Mambo Kingz,DJ Luian","reggaeton, trap latino, urbano latino, latin",Latin,Mas Rica Que Ayer,03:19,93808484,2023,Collaboration
3XoflnowYPFRPOh3uFvHcm,Selfish Love (with Selena Gomez),"DJ Snake,Selena Gomez",pop,Pop,Selfish Love (with Selena Gomez),02:48,15286326,2021,Collaboration
3XsYMEJutxpTiNXXRvodQH,RoCKSTAR 2.0,"Duki,JHAYCO","argentine trap, trap, trap latino, reggaeton, urbano latino",Hip Hop,Antes de Ameri,02:53,18619178,2023,Collaboration
3XsaSIPWvM61RIFfeb0BBR,White Christmas - 1947 Version,"Bing Crosby,Ken Darby Singers,John Scott Trotter & His Orchestra","christmas, ",Jazz,White Christmas,03:03,55701564,2024,Collaboration
3Y7a0typ6ik1KscmebXd6D,No New Friends,"Sia,Diplo,Labrinth,LSD","moombahton, ",Electronic,No New Friends,02:55,13984144,2019,Collaboration
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,r&b,R&B,Good Days,04:39,349890040,2020,Solo
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,r&b,R&B,Good Days,04:39,349890040,2021,Solo
3Ytr1SUCUi6J3L9dRFx5iH,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)","Major Lazer,Travis Scott,Camila Cabello,Quavo","moombahton, rap, pop, ",Electronic,Know No Better (feat. Quavo),03:45,192498509,2017,Collaboration
3YvE7uo4ffseBoJPh8IhHp,Presepada,"Marília Mendonça,Maiara & Maraisa","sertanejo, sertanejo universitário, arrocha, forró, piseiro",Country,Festa das Patroas 35%,03:16,45613219,2021,Collaboration
3YvE7uo4ffseBoJPh8IhHp,Presepada,"Marília Mendonça,Maiara & Maraisa","sertanejo, sertanejo universitário, arrocha, forró, piseiro",Country,Festa das Patroas 35%,03:16,45613219,2022,Collaboration
3Yw09dj3cTXsAzlLjgBfIP,Talk Up,"Drake,JAY-Z","rap, hip hop, east coast hip hop",Hip Hop,Scorpion,03:15,35516339,2018,Collaboration
3Z0oQ8r78OUaHvGPiDBR3W,Into the Unknown,"Idina Menzel,AURORA","musicals, norwegian pop, art pop",Pop,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),03:14,54614045,2019,Collaboration
3Z0oQ8r78OUaHvGPiDBR3W,Into the Unknown,"Idina Menzel,AURORA","musicals, norwegian pop, art pop",Pop,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),03:14,54614045,2020,Collaboration
3Z3QhZAZpqwZa1phsbQ3JZ,Driving Home for Christmas,Chris Rea,christmas,Jazz,The Works,04:00,41881740,2018,Solo
3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),"Marshmello,Halsey","edm, ",Electronic,Be Kind (with Halsey),02:52,277175843,2020,Collaboration
3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),"Marshmello,Halsey","edm, ",Electronic,Be Kind (with Halsey),02:52,277175843,2021,Collaboration
3ZEno9fORwMA1HPecdLi0R,HAPPY,NF,christian hip hop,Hip Hop,HOPE,04:02,17139630,2023,Solo
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"Shakira,Wyclef Jean","latin pop, latin, ",Latin,"Oral Fixation, Vol. 2 (Expanded Edition)",03:38,236388010,2017,Collaboration
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"Shakira,Wyclef Jean","latin pop, latin, ",Latin,"Oral Fixation, Vol. 2 (Expanded Edition)",03:38,236388010,2018,Collaboration
