artist_name,artist_id,genres,num_hits,num_collab_hits
MC MENOR HR,33yjk1kQbu7otNngO5pQb8,"brazilian funk, funk, funk carioca, funk de bh, hip hop, r&b",1,1
MC MENOR SG,3hXocXy7cs7SZ1JLZUgKBp,"brazilian funk, funk, funk carioca, funk de bh, hip hop, r&b",1,1
DJ ESCOBAR,65tpb4BwAnD3HOUs8MC6TB,"brazilian funk, funk, funk carioca, funk de bh, hip hop, r&b",1,1
MEDUZA,0xRXCcSX89eobfrshSVdyu,,1,1
James Carter,5344K3N7rx7kw1HjO8psuq,,1,1
FAST BOY,56Qz2XwGj7FxnNKrfkWjnb,,1,1
Israel & Rodolffo,41QLxRXlc2NwfJZkHGHKid,"agronejo, arrocha, country, latin, piseiro, sertanejo, sertanejo universitário",1,1
Wham!,5lpH0xAS4fVfLkACg9DAuM,"christmas, jazz",1,0
Brenda Lee,4cPHsZM98sKzmV26wlwD2W,"christmas, jazz",2,0
Bobby Helms,38EmEgXkgK51MT2tPY0EoC,"christmas, jazz",1,0
Michael Bublé,1GxkXlMwML1oSg5eLPiAz3,"christmas, classical, country, easy listening, electro swing, jazz, musicals, swing music",11,4
Foudeqush,0XFgM33h3Ls5tj1M9IKUWd,"easy listening, soundtrack",1,1
Ludwig Göransson,24eDfi2MSYo3A87hCcgpIL,"easy listening, soundtrack",1,1
Freddie Dredd,0dlDsD7y6ccmDm8tuWCU6F,"dark trap, hip hop, memphis rap, phonk",1,0
Eladio Carrion,5XJDexmWFLWOkjOEjOVX3e,"hip hop, latin, trap, trap latino, urbano latino",1,0
Dean Martin,49e4v89VmlDcFCMyDv9wQ9,"adult standards, big band, christmas, easy listening, jazz, swing music",4,0
Andy Williams,4sj6D0zlMOl25nprDJBiU9,"adult standards, christmas, easy listening, jazz",2,0
Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,"christmas, country, jazz, pop",3,2
King,5NHm4TU5Twz7owibYxJfFU,"desi, desi hip hop, desi pop, hindi hip hop, hindi indie, hindi pop, hip hop, pop, rock",1,0
FIFA Sound,5C01hDqpEmrmDfUhX9YWsH,"k-pop, pop",1,1
José Feliciano,7K78lVZ8XzkjfRSI7570FF,"bolero, christmas, jazz, latin",1,0
Shakin' Stevens,0wi4yTYlGtEnbGo4ltZTib,"christmas, jazz, rock, rockabilly",1,0
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,,1,0
Freshlyground,7AcV1lk8Zrgo1691PDWEle,"afro soul, afropop, dubstep, electronic, latin, latin pop, pop, r&b",1,1
Burl Ives,0MHgLfmQdutffmvWe5XBTN,"christmas, jazz",3,0
The Ronettes,7CyeXFnOrfC1N6z4naIpgo,"christmas, jazz",2,0
Bellakath,4yjm4SvYqC5FFuLbB6TyHr,"electronic, latin, neoperreo, reggaeton, reggaeton mexa",1,0
