Artist,Genres,num_hits,num_collab_hits
Tropa do Bruxo,"brazilian funk, brazilian trap, funk, funk carioca, funk de bh, hip hop, r&b",1,1
DJ Ws da Igrejinha,"brazilian funk, brazilian trap, funk, funk carioca, funk de bh, hip hop, r&b",2,2
SMU,"brazilian funk, brazilian trap, funk, funk carioca, funk de bh, hip hop, r&b",1,1
Triz,"brazilian funk, brazilian trap, funk, funk carioca, funk de bh, hip hop, r&b",1,1
Mc Menor Thalis,"brazilian funk, brazilian trap, funk, funk carioca, funk de bh, hip hop, r&b",1,1
Imagine Dragons,"electronic, tropical house",8,2
Hozier,"folk, folk/acoustic",9,1
Steve Lacy,,1,0
BENNETT,"hip hop, techno",1,0
Future,"hip hop, new jack swing, r&b, rage rap, rap, southern hip hop, west coast hip hop",39,32
Don Toliver,"hip hop, jersey club, pop, rap, sexy drill",8,3
Miguel,r&b,1,0
Linkin Park,"alternative metal, metal, nu metal, rap metal, rock",19,0
Young Thug,"hip hop, melodic rap, rap, southern hip hop, trap",4,4
Stephen Sanchez,,1,1
Em Beihold,,1,1
New West,,1,0
Radiohead,"alternative rock, art rock, rock",1,0
FIFTY FIFTY,"k-pop, pop",1,0
Kendrick Lamar,"hip hop, hyphy, melodic rap, mexican hip hop, r&b, rap, west coast hip hop",32,17
Jay Rock,"hip hop, west coast hip hop",1,1
One Direction,,10,0
The Goo Goo Dolls,,1,0
James Arthur,"pop, soft pop",1,0
DJ Snake,,1,1
Richy Mitch & The Coal Miners,,1,0
Fleetwood Mac,"classic rock, rock, soft rock",1,0
Maroon 5,"hip hop, pop, rap",2,1
The Chainsmokers,,2,2
Bring Me The Horizon,"emo, metal, metalcore, post-hardcore, rock, screamo",1,0
Luciano,"german hip hop, hip hop",1,0
Marvin Gaye,"motown, northern soul, quiet storm, r&b, soul",1,1
Tammi Terrell,"motown, northern soul, quiet storm, r&b, soul",1,1
AUR,"hindi hip hop, hindi indie, hip hop, indian indie, rock",1,0
Shawn Mendes,pop,2,0
Bizarrap,"argentine trap, banda, corrido, corridos bélicos, corridos tumbados, electro corridos, hip hop, latin, música mexicana, sad sierreño, sierreño, trap latino, urbano latino",4,4
Mesita,"argentine trap, hip hop, latin, rkt, trap, turreo, urbano latino",1,1
Nicki Nicole,"argentine trap, hip hop, latin, rkt, trap, trap latino, turreo, urbano latino",2,2
Tiago PZK,"argentine trap, brazilian pop, cuarteto, cumbia, funk, funk carioca, funk pop, hip hop, latin, pagode baiano, pop, r&b, rkt, trap, trap latino, turreo, urbano latino",4,4
Natasha Bedingfield,,1,0
Gaby Music,"latin, reggaeton, trap latino",1,1
Lunay,"latin, reggaeton, trap latino",1,1
Luar La L,"dembow, hip hop, latin, reggaeton, trap, trap latino, urbano latino",2,2
Lil Durk,"drill, hip hop, rap",1,1
Brent Faiyaz,"afrobeat, afrobeats, afropiano, afropop, afroswing, azonto, dancehall, pop, r&b, traditional music",2,2
Summer Walker,r&b,2,2
Burna Boy,"afrobeat, afrobeats, afropiano, afropop, afroswing, dancehall, latin pop, pop, r&b, traditional music",3,3
Tommy Newport,,1,1
Mikky Ekko,,1,1
Lil Nas X,,1,0
Mariah the Scientist,"alternative r&b, r&b",1,1
Flo Milli,,2,0
Oscar Ortiz,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño",1,1
Edgardo Nuñez,"banda, corrido, corridos bélicos, corridos tumbados, electro corridos, latin, música mexicana, sad sierreño",1,1
Kid Cudi,"dance, edm, electronic, hip hop, rap",2,2
Creepy Nuts,"anime, hip hop, j-pop, j-rap, pop",2,0
