artist_name,artist_id,image_url
Gente De Zona,2cy1zPcrFcXAJTP0APWewL,https://i.scdn.co/image/ab6761610000e5ebcda5da981e7770ec8038fb7c
Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,https://i.scdn.co/image/ab6761610000e5eb036b6cb012fd1c34862161c2
Tove Lo,4NHQUGzhtTLFvgF5SZesLK,https://i.scdn.co/image/ab6761610000e5eb2360c963315739fc33b01687
San Holo,0jNDKefhfSbLR9sFvcPLHo,https://i.scdn.co/image/ab6761610000e5eb082c34e225913f6f5ef6f420
Farruko,329e4yvIujISKGKz1BZZbO,https://i.scdn.co/image/ab6761610000e5eb7d36b670eff30cc4de53f67c
Ky-Mani Marley,1XTGADISSMRf8B4TcVGYUC,https://i.scdn.co/image/ab6761610000e5eb5e58da6e2cec104db6eea4fa
State of Sound,05o1zW8b6PV6rEquXr74sB,https://i.scdn.co/image/ab6761610000e5eb489222dcb8d7949073c8469f
Cedric Gervais,4Wjf8diP59VmPG7fi4y724,https://i.scdn.co/image/ab6761610000e5eb577e3855698e0003f8e74e9b
Chris Willis,2qSEpijpT3YSXgxcXac1ly,https://i.scdn.co/image/ab6761610000e5eb220cc16a0a4230776900cb5d
Joel Adams,36jaGQtMj5UWD0eO1fCVdD,https://i.scdn.co/image/ab6761610000e5eb87462cbff7c782a4147b2e8f
Francesco Yates,5X1JzPIIonP3u9lA580pPT,https://i.scdn.co/image/ab6761610000e5ebe5a427073d13d28533aa52f4
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d
Kygo,23fqKkggKUBHNkbKtXEls4,https://i.scdn.co/image/ab6761610000e5ebe5ea1aa1404629c12ad86658
Maty Noyes,5JSXWmQO8csVUy6hSRu8TA,https://i.scdn.co/image/ab6761610000e5eb27320079129b6e719d249ed1
Skrillex,5he5w2lnU9x7JFhnwcekXX,https://i.scdn.co/image/ab6761610000e5eb61f92702ca14484aa263a931
Rick Ross,1sBkRIssrMs1AbVkOJbc7a,https://i.scdn.co/image/ab6761610000e5eb8196a8109c28a8b8aca28fae
James Hersey,0lzV2CiahHRiGd6qpADtPS,https://i.scdn.co/image/ab6761610000e5eb6ed8efd4bf58d7f6a999e8dc
